place_id,name,cre_id,longitude,latitude,regular_price,premium_price,diesel_price,state,municipality,address
11425,"ESTACION DE SERVICIOS EL CAPITAN, SA DE CV ",PL/10034/EXP/ES/2015,-114.8504,32.63555,22.99,,25.29,,,
11426,MIGUEL ANGEL TERAN PARRA,PL/10035/EXP/ES/2015,-111.1136,30.54536,26.29,27.99,27.29,,,
11429,SERVICIO SAN JOSÉ KUCHE S.A. DE C.V.,PL/10036/EXP/ES/2015,-89.53171,21.0577,24.49,25.64,26.84,,,
11430,"SERVICIOS GASOLINEROS DE MEXICO, S.A. DE C.V.",PL/10037/EXP/ES/2015,-100.1944,25.50908,25.99,27.89,,,,
11428,MAYRA Y GISSEL S.A. DE C.V.,PL/10038/EXP/ES/2015,-98.73369,18.88581,24.69,25.19,26.29,,,
11431,EDARSI S.A. DE C.V.,PL/10039/EXP/ES/2015,-97.77251,21.79868,24.34,25.24,26.14,,,
3158,SERVICIO LOS ANDES S.A. DE C.V.,PL/1004/EXP/ES/2015,-99.03324,19.60065,24.49,25.99,25.99,,,
11427,JOSÉ BENJAMIN FRAGOSO LUNA,PL/10040/EXP/ES/2015,-94.68028,18.02826,23.9,25.45,26.2,,,
11432,NANCY MARTINEZ GONZÁLEZ,PL/10041/EXP/ES/2015,-96.97816,19.39169,24.36,25.45,25.7,,,
11433,SERVICIO SAN SALVADOR S.A. DE C.V.,PL/10042/EXP/ES/2015,-98.51459,19.26545,24.19,,26.09,,,
11434,SESGAS S.A. DE C.V.,PL/10043/EXP/ES/2015,-97.02035,19.0257,24.24,24.77,26.2,,,
11439,COMBUSTIBLES DE CHALCO S.A. DE C.V.,PL/10044/EXP/ES/2015,-98.89622,19.26069,,,,,,
11440,SERVICIO CERANO S.A. DE C.V.,PL/10045/EXP/ES/2015,-101.3723,20.12178,24.99,26.79,26.49,,,
11441,SERVICIO TOPIA S.A. DE C.V.,PL/10046/EXP/ES/2015,-106.5721,25.21429,26.2,,27.98,,,
11442,SERVICIO PAR VIAL S.A. DE C.V.,PL/10047/EXP/ES/2015,-99.1847,18.88836,24.0,25.1,25.85,,,
11443,SERVICIO GLORIETA SAN FERNANDO S.A. DE C.V.,PL/10048/EXP/ES/2015,-89.61961,20.9881,,,,,,
11436,HORIZONTE ENERGÉTICO S.A. DE C.V.,PL/10049/EXP/ES/2015,-98.97215,18.79492,,,,,,
2767,SERVICIO IRRIGACIÓN S.A. DE C.V.,PL/1005/EXP/ES/2015,-100.8031,20.53727,23.69,25.16,,,,
11437,SERVICIOS GASOLINEROS DE MEXICO S.A. DE C.V.,PL/10050/EXP/ES/2015,-101.1807,20.12552,24.99,26.99,26.98,,,
11438,SERVI BENZIN SA DE CV,PL/10051/EXP/ES/2015,-96.47381,15.73297,25.55,26.99,27.78,,,
11435,ES SAN GABRIEL S.A. DE C.V.,PL/10052/EXP/ES/2015,-99.5657,27.46814,20.99,22.99,26.24,,,
11444,OPERADORA DE COMBUSTIBLE XOLOX S.A. DE C.V.,PL/10053/EXP/ES/2015,-98.99641,19.77316,23.83,24.93,25.83,,,
11445,SERVICIO GUIPOLLALI S.A. DE C.V.,PL/10054/EXP/ES/2015,-99.64202,18.96653,,,,,,
11446,GRUPO ALDAMA S.A. DE C.V.,PL/10055/EXP/ES/2015,-103.4406,24.28553,24.87,26.03,26.28,,,
11447,CARLOS MORALES PÉREZ,PL/10056/EXP/ES/2015,-103.3971,24.28975,24.87,26.03,26.28,,,
11448,CARLOS MORALES PÉREZ,PL/10057/EXP/ES/2015,-103.7059,24.86854,25.09,26.98,26.69,,,
11449,KEYAPAAL S.A. DE C.V.,PL/10058/EXP/ES/2015,-103.9706,18.93461,,26.5,26.85,,,
11450,SERVICIO SYC S.A. DE C.V.,PL/10059/EXP/ES/2015,-105.4713,28.20065,24.14,25.69,24.99,,,
3100,GRUPO MACRUZ S.A. DE C.V.,PL/1006/EXP/ES/2015,-99.21472,19.46206,24.49,26.49,26.99,,,
11451,PETROLEOS Y COMBUSTIBLES DEL CABO S.A. DE C.V.,PL/10060/EXP/ES/2015,-109.7089,23.09428,25.4,25.85,26.95,,,
11452,SERVIECOLOGICOS S.A. DE C.V.,PL/10061/EXP/ES/2015,-103.1901,20.40594,24.99,26.3,26.35,,,
11453,PETROLEOS Y COMBUSTIBLES DEL CABO S.A. DE C.V.,PL/10062/EXP/ES/2015,-109.7094,23.06148,25.98,26.98,27.3,,,
11454,ESTACIÓN LA VICTORIA S.A. DE C.V.,PL/10063/EXP/ES/2015,-115.4357,32.60459,21.99,24.99,25.99,,,
11455,ESTACIÓN DE SERVICIO JILOTZINGO S.A. DE C.V.,PL/10064/EXP/ES/2015,-99.04546,19.86676,24.39,25.19,25.85,,,
11456,QUMAR GASOLINERAS S.A. DE C.V.,PL/10065/EXP/ES/2015,-99.23881,19.9142,24.77,25.57,26.47,,,
11457,"ESTACION PIRU, S.A. DE C.V.",PL/10066/EXP/ES/2015,-117.0507,32.53447,23.99,25.49,,,,
11458,YUYO COMERCIAL S.A. DE C.V.,PL/10067/EXP/ES/2015,-93.18099,18.06138,,,,,,
11459,MANUEL FRANCISCO TORRES NAVARRO,PL/10068/EXP/ES/2015,-103.8827,23.47933,25.42,,27.03,,,
11460,ESTACIÓN HUEXOTITLA S. DE R. L. DE C. V.,PL/10069/EXP/ES/2015,-98.22366,19.03144,23.89,24.69,,,,
3043,COMBU-EXPRESS S.A. DE C.V.,PL/1007/EXP/ES/2015,-103.4685,19.6921,26.24,27.22,27.18,,,
11461,GASOLNAT S.A. DE C.V.,PL/10070/EXP/ES/2015,-98.15479,19.05175,23.6,24.69,25.49,,,
11462,SERVICIO LAS CUPULAS S.A. DE C.V.,PL/10071/EXP/ES/2015,-98.35149,19.21002,23.99,24.99,25.95,,,
11463,RZ CAPITAL S.A. DE C.V.,PL/10072/EXP/ES/2015,-98.23562,19.05941,23.71,24.89,24.86,,,
11464,PUEBLA AVANZA S. DE R. L. DE C. V.,PL/10073/EXP/ES/2015,-98.3619,19.21996,23.99,24.99,25.95,,,
11465,MAS GAS DE APODACA S.A. DE C.V.,PL/10074/EXP/ES/2015,-100.2314,25.74438,23.98,26.28,25.78,,,
11466,JOSÉ LUIS SÁNCHEZ RODRÍGUEZ,PL/10075/EXP/ES/2015,-99.003,18.62763,24.6,25.62,26.45,,,
11467,EL NUEVO SERVICIO PROLONGACIÓN REFORMA S.A. DE C.V.,PL/10076/EXP/ES/2015,-98.22738,19.06035,22.95,24.85,24.8,,,
11468,OPERADORA INTERGASOLINERAS S.A. DE C.V.,PL/10077/EXP/ES/2015,-99.60115,19.26405,,,,,,
11469,OPERADORA INTERGASOLINERAS S.A. DE C.V.,PL/10078/EXP/ES/2015,-99.18304,19.73519,,,,,,
11471,HERSAN CORPORATIVO S.A. DE C.V.,PL/10079/EXP/ES/2015,-115.4111,32.62451,23.28,24.58,,,,
2991,COMBU-EXPRESS S.A. DE C.V.,PL/1008/EXP/ES/2015,-103.4794,19.70312,26.24,27.22,27.18,,,
11470,OPERADORA INTERGASOLINERAS S.A. DE C.V.,PL/10080/EXP/ES/2015,-99.53442,19.30093,23.79,26.99,25.39,,,
11473,RAMÓN HERNÁNDEZ ANGEL,PL/10081/EXP/ES/2015,-102.5791,20.67326,24.4,26.2,24.96,,,
11474,HERSAN CORPORATIVO S.A. DE C.V.,PL/10082/EXP/ES/2015,-115.4344,32.63439,23.47,24.97,,,,
11475,HERSAN CORPORATIVO S.A. DE C.V.,PL/10083/EXP/ES/2015,-115.5017,32.61306,23.28,24.63,,,,
11476,NACIONAL DE COMBUSTIBLES Y LUBRICANTES S.A. DE C.V.,PL/10084/EXP/ES/2015,-99.17435,19.41792,24.99,26.59,,Ciudad de Mexico,Cuauhtemoc,Avenida Durango S/N Esquina Veracruz
11477,SERVICIO SAN PEDRO DE LOS SAUCES S.A. DE C.V.,PL/10085/EXP/ES/2015,-101.1326,19.77545,24.8,25.85,26.5,,,
11478,AUTO SERVICIO CASA MAGNA S.A. DE C.V.,PL/10086/EXP/ES/2015,-115.476,32.59078,23.99,25.49,,,,
11479,NACIONAL DE COMBUSTIBLES Y LUBRICANTES S.A. DE C.V.,PL/10087/EXP/ES/2015,-99.15044,19.45354,24.99,,,Ciudad de Mexico,Cuauhtemoc,Ricardo Flores Magon No. 226
11480,AUTO SERVICIO CASA MAGNA S.A. DE C.V.,PL/10088/EXP/ES/2015,-115.3268,32.61385,23.49,25.59,25.89,,,
11481,RAMIRO JIMÉNEZ CASTRO,PL/10089/EXP/ES/2015,-100.993,19.99666,24.65,,26.65,,,
2964,COMBU-EXPRESS S.A. DE C.V.,PL/1009/EXP/ES/2015,-103.4776,19.68044,26.24,27.22,27.18,,,
11472,FRANCISCO CARRANZA FAMANIA,PL/10090/EXP/ES/2015,-108.331,25.54686,24.8,25.4,26.4,,,
11482,ESTACIÓN DE SERVICIO PYOTR S.A. DE C.V.,PL/10091/EXP/ES/2015,-103.4754,20.53395,23.99,24.99,25.59,,,
11484,ESTACIÓN DE SERVICIO MARINA GUAYMENSE S.A. DE C.V.,PL/10092/EXP/ES/2015,-110.869,27.87804,,,,,,
11483,GAS COMPANY S.A. DE C.V.,PL/10093/EXP/ES/2015,-97.72188,19.00189,23.69,24.95,25.4,,,
11485,GAS COMPANY S.A. DE C.V.,PL/10094/EXP/ES/2015,-97.7244,18.9995,23.69,24.95,25.4,,,
11486,SÚPER SERVICIO RÍO BRAVO S.A. DE C.V.,PL/10095/EXP/ES/2015,-98.34766,26.06431,21.59,23.17,,,,
11487,SERVICIOS MERARID S.A. DE C.V.,PL/10096/EXP/ES/2015,-108.0755,25.46009,25.09,26.29,26.49,,,
11488,SERVICIO TECHALUTA S.A. DE C.V.,PL/10097/EXP/ES/2015,-103.5536,20.04685,23.9,26.55,25.45,,,
11489,ESTACIÓN DE SERVICIO GALERIAS S.A. DE C.V.,PL/10098/EXP/ES/2015,-103.4317,20.66939,24.98,26.48,,,,
11490,GRUPO GASDE S.A. DE C.V.,PL/10099/EXP/ES/2015,-105.6243,28.38186,24.29,25.89,25.19,,,
2851,COMBU-EXPRESS S.A. DE C.V.,PL/1010/EXP/ES/2015,-103.414,19.62872,25.94,,27.08,,,
11491,OPERADORA AVIACIÓN S.A. DE C.V.,PL/10100/EXP/ES/2015,-103.4511,20.73067,24.3,25.95,,,,
11492,RIGUERO MACIAS Y SOCIOS S.A. DE C.V.,PL/10101/EXP/ES/2015,-104.881,21.49262,25.29,25.99,,,,
11494,EUGENIO ALVAREZ GARCÍA,PL/10102/EXP/ES/2015,-101.2704,19.98736,23.63,25.46,25.44,,,
11493,CENTRAL SAN AGUSTÍN S.A. DE C.V.,PL/10103/EXP/ES/2015,-103.4635,20.55863,23.99,25.24,25.59,,,
11495,ESTACIÓN DE SERVICIO OMEGA S.A. DE C.V.,PL/10104/EXP/ES/2015,-103.4383,20.57107,22.99,24.99,,,,
11496,LA CANTERA GASO S.A. DE C.V.,PL/10105/EXP/ES/2015,-104.8307,21.49209,23.29,25.99,26.79,,,
11497,ESTACIÓN GUADALUPE S.A. DE C.V.,PL/10106/EXP/ES/2015,-103.4199,20.66318,21.59,24.49,,,,
11498,ESTACIÓN DE SERVICIOS TALA S.A. DE C.V.,PL/10107/EXP/ES/2015,-103.6883,20.70321,22.98,,24.98,,,
11499,COMBUSTIBLE TLAJOMULCO S.A. DE C.V.,PL/10108/EXP/ES/2015,-103.3769,20.52955,21.99,,23.99,,,
11541,CARLOS ARMANDO VALENCIA MONREAL,PL/10109/EXP/ES/2015,-112.1386,30.71979,24.25,25.99,25.99,,,
2921,SERVICIO LIBRAMIENTO LA JOYA S.A. DE C.V.,PL/1011/EXP/ES/2015,-98.3846,20.071,,,,,,
11542,GASOLINAS Y LUBRICANTES ALSEGA S.A. DE C.V.,PL/10110/EXP/ES/2015,-106.4125,31.69885,19.09,21.29,,,,
11543,SÚPER SERVICIO FATIMA S.A. DE C.V.,PL/10111/EXP/ES/2015,-101.0076,25.42936,22.99,,,,,
11544,SERVICIOS ECOLÓGICOS DEL MAYAB S. DE R. L. DE C. V.,PL/10112/EXP/ES/2015,-87.47454,20.2079,25.63,26.63,27.76,,,
11545,"BELLAS ARTES GASOLINERA, SA DE CV",PL/10113/EXP/ES/2015,-115.4907,32.64444,23.99,25.49,,,,
11546,JOSÉ ALBERTO ASIS CALDERÓN,PL/10114/EXP/ES/2015,-101.4487,26.94217,23.99,25.99,,,,
11547,LA PROVIDENCIA COMBUSTIBLES LUBRICANTES Y SERVICIOS S.A. DE C.V.,PL/10115/EXP/ES/2015,-99.09428,19.63255,,,,,,
11548,AUXILIADORA DE COMBUSTIBLES S.A. DE C.V.,PL/10116/EXP/ES/2015,-103.1103,20.3303,24.94,26.94,26.1,,,
11549,AUXILIADORA DE COMBUSTIBLES S.A. DE C.V.,PL/10117/EXP/ES/2015,-103.1947,20.31553,24.98,26.78,25.98,,,
11550,DE LA HOYA 1 S.A. DE C.V.,PL/10118/EXP/ES/2015,-104.0874,24.49989,,,,,,
11551,SERVICIO SOMBRERITO S.A. DE C.V.,PL/10119/EXP/ES/2015,-97.96126,23.26065,24.99,,26.09,,,
2820,ESTACIÓN DE SERVICIO ESTADIO S.A. DE C.V.,PL/1012/EXP/ES/2015,-99.15987,19.41204,23.79,26.39,,Ciudad de Mexico,Cuauhtemoc,Avenida Yucatán No. 155
11552,NOGALES ENERGÉTICOS S.A. DE C.V.,PL/10120/EXP/ES/2015,-110.9468,31.31786,20.79,23.89,,,,
11553,NOGALES ENERGÉTICOS S.A. DE C.V.,PL/10121/EXP/ES/2015,-110.9484,31.30182,,,,,,
11554,"CORPORATIVO EMPRENDEDOR DEL NOROESTE, S.A. DE C.V.",PL/10122/EXP/ES/2015,-117.049,32.5268,24.49,25.99,,,,
11556,"CORPORATIVO EMPRENDEDOR DEL NOROESTE, S.A. DE C.V.",PL/10123/EXP/ES/2015,-116.9809,32.51695,24.49,25.99,,,,
11555,"CORPORATIVO EMPRENDEDOR DEL NOROESTE, S.A. DE C.V.",PL/10124/EXP/ES/2015,-116.8642,32.47332,23.99,24.99,,,,
11557,"CORPORATIVO EMPRENDEDOR DEL NOROESTE, S.A. DE C.V.",PL/10125/EXP/ES/2015,-117.013,32.44472,23.99,25.99,,,,
11558,FRANCISCO RAFAEL ZORRILLA ALANIS,PL/10126/EXP/ES/2015,-96.39247,18.83271,24.03,,25.88,,,
11559,GASOVAZ S.A. DE C.V.,PL/10127/EXP/ES/2015,-103.3373,20.66048,24.88,26.9,25.8,,,
11560,PETROVAZ S.A. DE C.V.,PL/10128/EXP/ES/2015,-103.456,20.68832,23.97,26.19,25.25,,,
11561,PETROVAZ S.A. DE C.V.,PL/10129/EXP/ES/2015,-103.4528,20.69433,,,,,,
3067,SERVICIOS ENERGÉTICOS DE TIZAYUCA S.A. DE C.V.,PL/1013/EXP/ES/2015,-98.97259,19.84018,23.99,25.09,25.28,,,
11562,JUAN ANTONIO CASTRO ROMERO,PL/10130/EXP/ES/2015,-89.54332,20.93913,24.69,25.69,26.69,,,
11514,GRUPO GASOLINERO CARAVI S.A. DE C.V.,PL/10131/EXP/ES/2015,-98.43867,26.02867,21.59,23.17,24.99,,,
11515,RAMIRO ALFREDO GONZÁLEZ RAMÍREZ,PL/10132/EXP/ES/2015,0,0,,,,,,
11516,GRUPO GASOLINERO CARAVI S.A. DE C.V.,PL/10133/EXP/ES/2015,-107.9289,25.47876,25.09,,,,,
11517,INTERAMERICANA DE GAS S.A DE C.V,PL/10134/EXP/ES/2015,0,0,,,,,,
11518,HIDROCARBUROS HIDALGO S.A. DE C.V.,PL/10135/EXP/ES/2015,-98.75043,20.1059,23.59,24.44,,,,
11519,MULTISERVICIOS TAMEHI S.A. DE C.V.,PL/10136/EXP/ES/2015,-101.5698,19.63035,23.99,24.9,25.9,,,
11520,GASOLINA Y DIESEL DE OCCIDENTE S.A. DE C.V.,PL/10137/EXP/ES/2015,-103.3906,20.72808,24.99,26.88,,,,
11521,UNIGAS DEL PAPALOAPAN S.A. DE C.V.,PL/10138/EXP/ES/2015,-96.35363,18.45216,23.77,24.39,24.99,,,
11522,MIGUEL CASTAÑEDA ESPARZA,PL/10139/EXP/ES/2015,-101.9938,22.47896,,,,,,
2756,COMBU-EXPRESS S.A. DE C.V.,PL/1014/EXP/ES/2015,-101.3484,20.68778,23.89,25.69,,,,
11523,GASOLINA Y DIESEL DE OCCIDENTE S.A. DE C.V.,PL/10140/EXP/ES/2015,-103.4536,20.4778,25.49,26.98,,,,
11524,ANA MARÍA VALENZUELA MERCADO,PL/10141/EXP/ES/2015,-100.187,19.79341,24.75,25.5,25.99,,,
11525,JOSÉ LUIS CANTELI FUENTE,PL/10142/EXP/ES/2015,-98.89006,19.47704,23.93,24.95,25.75,,,
11526,GABRIELA ANDREA FARFAN VELAZQUEZ,PL/10143/EXP/ES/2015,-101.6507,19.40072,24.98,26.66,27.41,,,
11527,MARÍA SOCORRO ORTEGA HERNÁNDEZ,PL/10144/EXP/ES/2015,-101.7656,19.49922,,,,,,
11528,MARIBEL AVILA CANO,PL/10145/EXP/ES/2015,-98.7988,20.0343,,,,,,
11529,"BP ESTACIONES Y SERVICIOS ENERGETICOS, S.A. DE C.V.",PL/10146/EXP/ES/2015,-86.876,20.91282,25.95,26.95,27.79,,,
11530,GASOLINERA LA PIEDRA S.A. DE C.V.,PL/10147/EXP/ES/2015,-92.38574,15.29961,25.75,26.25,27.25,,,
11531,GASOLINERA LA PIEDRA S.A. DE C.V.,PL/10148/EXP/ES/2015,-92.24186,15.36755,25.8,26.46,27.28,,,
11532,VARVEL S. A DE C. V.,PL/10149/EXP/ES/2015,-99.57624,19.27095,24.09,25.89,25.99,,,
3089,SERVICIOS ENERGÉTICOS DE ZUMPANGO S.A. DE C.V.,PL/1015/EXP/ES/2015,-100.4206,20.55431,23.19,24.49,,,,
11533,HUMBERTO FLORES JIMÉNEZ,PL/10150/EXP/ES/2015,-100.2723,18.36599,,,,,,
11534,GASOLINAS Y LUBRICANTES ALSEGA S.A. DE C.V.,PL/10151/EXP/ES/2015,-106.4121,31.69925,,,,,,
11535,HUMBERTO FLORES JIMÉNEZ,PL/10152/EXP/ES/2015,-100.2816,18.31678,,,,,,
11536,GASOLINERA NIQUIVIL S.A. DE C.V.,PL/10153/EXP/ES/2015,-92.21568,15.26244,,,,,,
11537,POMPA BOYLAN ASOCIADOS S.A. DE C.V.,PL/10154/EXP/ES/2015,-104.0494,26.5793,22.99,24.49,23.69,,,
11538,"COMBUSTIBLES Y LUBRICANTES GARVA, S. DE R.L. DE C.V.",PL/10155/EXP/ES/2015,-115.4184,32.621,23.29,24.55,25.49,,,
11539,FEDERICO LÓPEZ LÓPEZ,PL/10156/EXP/ES/2015,-110.8879,29.17866,24.99,,,,,
11540,SÚPER SERVICIO CIBRIAN S.A. DE C.V.,PL/10157/EXP/ES/2015,-104.6974,19.22874,,,,,,
11500,JORGE ANTONIO ZARAGOZA MARTINEZ,PL/10158/EXP/ES/2015,-97.32636,20.44931,,,,,,
11501,NACIONAL DE COMBUSTIBLES Y LUBRICANTES S.A. DE C.V.,PL/10159/EXP/ES/2015,-99.12649,19.46518,24.99,26.69,,Ciudad de Mexico,Gustavo A. Madero,Donizetti No. 315 Y Calzada de Los Misterios
2902,"ENERGIA Y SERVICIOS COORDINADOS, S.A. DE C.V.",PL/1016/EXP/ES/2015,-104.6641,23.98523,25.99,26.79,27.69,,,
11502,NACIONAL DE COMBUSTIBLES Y LUBRICANTES S.A. DE C.V.,PL/10160/EXP/ES/2015,-99.16473,19.43035,24.99,26.59,,Ciudad de Mexico,Cuauhtemoc,Rio Lerma No. 71 Esquina Rio Rhin
11503,SERVICO PASO DEL MACHO S.A. DE C.V.,PL/10161/EXP/ES/2015,-96.72746,18.97709,23.49,23.89,25.19,,,
11504,SERVICIO HIPERGAS S.A. DE C.V.,PL/10162/EXP/ES/2015,-102.3777,20.70661,23.25,25.6,24.95,,,
11505,SÚPER GAS DE POTRERO S.A. DE C.V.,PL/10163/EXP/ES/2015,-96.80165,18.8906,23.95,24.35,,,,
11506,OPERADORA RIVERA SACRA S.A. DE C.V.,PL/10164/EXP/ES/2015,-100.4189,20.61093,23.19,25.49,25.99,,,
11507,GASERVICIOS SAN DIEGO S.A. DE C.V.,PL/10165/EXP/ES/2015,-103.4071,20.42978,22.99,24.2,24.2,,,
11508,RICARDO ESQUIVEL CASTAÑEDA,PL/10166/EXP/ES/2015,-97.69262,19.99243,24.6,,26.9,,,
11509,RICARDO ESQUIVEL CASTAÑEDA,PL/10167/EXP/ES/2015,-105.1491,21.87197,24.75,25.85,26.45,,,
11510,LUBRICANTES Y COMBUSTIBLES DE LA COSTA S.A. DE C.V.,PL/10168/EXP/ES/2015,-103.5889,18.52734,,,,,,
11511,SERVICIOS RANCHEZ S.A. DE C.V.,PL/10169/EXP/ES/2015,-107.3782,24.44258,24.99,,25.99,,,
3144,COMBU-EXPRESS S.A. DE C.V.,PL/1017/EXP/ES/2015,-103.6008,19.88241,25.49,,26.64,,,
11512,SERVICIO ROHEL S.A. DE C.V.,PL/10170/EXP/ES/2015,-103.1302,20.39214,,,,,,
11513,GASOLINERIA EL ROSARIO S.A. DE C.V.,PL/10171/EXP/ES/2015,-99.14349,19.91947,24.83,25.39,26.36,,,
11563,GASOLINERA REAL VISTA HERMOSA II S. DE R. L. DE C. V.,PL/10172/EXP/ES/2015,-103.7078,19.25835,24.7,25.96,26.5,,,
11564,HIDROCARBUROS HIDALGUENSES S.A. DE C.V.,PL/10173/EXP/ES/2015,-98.30904,20.03276,,,,,,
11565,GASOLINERA SAN ISIDRO TEPALCATEPEC S.A. DE C.V.,PL/10174/EXP/ES/2015,-102.8849,19.08021,26.0,27.0,27.65,,,
11566,HIDROCARBUROS HIDALGUENSES S.A. DE C.V.,PL/10175/EXP/ES/2015,-98.34344,20.06468,22.97,24.99,25.7,,,
11567,MULTISERVICIOS LOS CIENES S.A. DE C.V.,PL/10176/EXP/ES/2015,-107.0055,28.77414,23.3,25.25,24.25,,,
11568,GASOLINERA JAG S.A. DE C.V.,PL/10177/EXP/ES/2015,-100.2818,25.63519,24.59,26.44,,,,
11588,JUAN CARLOS LOMELIN ALBA,PL/10178/EXP/ES/2015,-101.6805,21.07721,,,,,,
